Campaign Number,Start Date,End Date,Channel,Channel_id,CampaignType,Campaign_type_id,Client,Client_id,Address,City,State,Zip,Email,Contact,Gender,Age,Audience_id,Target Location,Location_id,Views,Likes,Clicks,Conversions,Expense,Total Sales,Executive,Executive_id
C029,2023-02-20,2023-03-01,Facebook,CH005,Sign Up,CT001,Ross Group,CL 008,2397 Allison Knolls Suite 213,Jacksonside,WV,58803-3895,kristopher99@romero.org,Lauren Graham,Adults,40-60,AU007,India,LO008,32351.0,3417.0,3381.0,443.0,25073.88,0.0,Brandon Townsend Jr.,EX002
C030,2023-08-12,2023-09-08,Email,CH002,Sales,CT002,"Morris, Johnson and Anderson",CL 021,065 John Street,West Adamchester,NV,72944-3914,johnsondonald@meyer.com,Sandy Mathis,Male,18-40,AU009,Australia,LO007,11800.0,1677.0,729.0,958.0,23784.67,64722.92,Kyle Serrano,EX010
C031,2023-02-18,2023-03-06,TikTok,CH003,Sales,CT002,Lyons PLC,CL 022,20804 Burgess Trace,Petersenburgh,WV,31082,nicholastaylor@yahoo.com,Sharon Crawford,Male,40-60,AU003,India,LO008,54734.0,814.0,2089.0,167.0,1491.41,45845.59,Lauren Riggs,EX001
C032,2023-09-08,2023-09-22,Facebook,CH005,Sign Up,CT001,Fisher Group,CL 023,880 Watson Ramp Suite 059,Reynoldsfurt,GU,10725,brian57@hotmail.com,Jeremy Baker,Female,40-60,AU010,Europe,LO004,2208.0,2309.0,2423.0,926.0,40680.13,0.0,Melissa Haynes,EX008
C033,2023-12-07,2023-12-23,YouTube,CH001,Sales,CT002,Gray Ltd,CL 024,Unit 4555 Box 7398,DPO AE 23911-7290,,,owenmelinda@yahoo.com,Mark Long,Adults,40-60,AU007,Japan,LO005,81576.0,10000.0,2916.0,112.0,10125.54,61621.82,Jesus Rivera,EX004
C034,2023-06-21,2023-07-19,YouTube,CH001,Sign Up,CT001,Jackson Inc,CL 015,96299 Miller Spur,Jensenfurt,CA,97794-3156,jeremy09@yahoo.com,Karen Rivers,Female,18-40,AU004,UK,LO006,76659.0,5247.0,2547.0,46.0,33116.41,0.0,Thomas Ryan,EX003
C035,2023-05-06,2023-05-30,Email,CH002,Sales,CT002,"Holmes, Johnson and Rodriguez",CL 025,USCGC Erickson,FPO AE 00735-4383,,,polsen@alexander-smith.net,Anne Foley,Seniors,60+,AU006,UK,LO006,94539.0,5735.0,2844.0,560.0,16141.11,55061.03,Wesley Simon,EX005
C036,2023-10-19,2023-11-10,Email,CH002,Sales,CT002,"Bradley, Jackson and Miller",CL 026,190 Bradley Mill Suite 940,Craigbury,MO,18832,hansonpatrick@hunt.com,Dr. David Glass Jr.,Seniors,60+,AU006,Australia,LO007,70092.0,3449.0,4199.0,196.0,29557.22,41677.11,Melissa Haynes,EX008
C037,2023-01-31,2023-02-14,YouTube,CH001,Sign Up,CT001,Roberts-Brown,CL 019,725 Peter Lights Apt. 639,South Janet,WV,83873-6339,nguyendustin@gmail.com,Samantha Hudson,Seniors,60+,AU006,UK,LO006,54376.0,1027.0,2371.0,155.0,23431.5,0.0,Thomas Ryan,EX003
C038,2023-07-08,2023-07-29,Instagram,CH004,Sign Up,CT001,Valentine-Dunn,CL 027,723 Julia Burg,Bartonhaven,VT,86914,gharrington@yahoo.com,Nathan May,Male,40-60,AU003,Australia,LO007,53401.0,7986.0,2766.0,339.0,8152.59,0.0,Melissa Haynes,EX008
C039,2023-12-22,2024-01-16,TikTok,CH003,Sales,CT002,"Bush, Mendez and Smith",CL 028,791 Darryl Squares Suite 934,Holdenport,OH,41129-2197,churchtimothy@yahoo.com,Patrick Williams,Teens,13-19,AU008,Europe,LO004,4701.0,6450.0,4786.0,837.0,27780.55,39069.98,Brandon Townsend Jr.,EX002
C040,2023-07-17,2023-07-26,Instagram,CH004,Sales,CT002,Lewis PLC,CL 013,621 Woodard Manors Apt. 208,Port Amy,ME,05157-2612,beth20@gmail.com,Diana Love,Seniors,60+,AU006,UK,LO006,59513.0,3950.0,4168.0,166.0,39300.07,35084.2,Thomas Ryan,EX003
C041,2023-05-13,2023-05-21,Instagram,CH004,Sign Up,CT001,Mcbride-Finley,CL 029,438 Brent Roads Apt. 855,Tylerburgh,NY,69473,mcclainhannah@jensen-gilbert.com,Michael Freeman,Adults,18-40,AU001,India,LO008,8417.0,1807.0,3944.0,303.0,16209.56,0.0,Jesus Rivera,EX004
C042,2023-09-07,2023-09-17,TikTok,CH003,Sales,CT002,Valentine-Dunn,CL 027,723 Julia Burg,Bartonhaven,VT,86914,gharrington@yahoo.com,Nathan May,Male,18-40,AU009,Europe,LO004,72788.0,824.0,2735.0,769.0,41623.56,45878.43,Melissa Haynes,EX008
C043,2023-02-18,2023-03-14,Facebook,CH005,Sales,CT002,"Reed, Galloway and Buck",CL 010,49317 Vincent Vista Suite 462,Port Nathan,CA,23364-0905,larrygraham@lucas.com,Andrea Simmons,Teens,13-19,AU008,USA,LO001,88433.0,5585.0,3668.0,716.0,46147.61,51821.51,Wesley Simon,EX005
C044,2023-01-17,2023-01-25,YouTube,CH001,Sales,CT002,Reyes-Rios,CL 030,49937 Christopher Unions,Gutierrezmouth,MI,13751-5785,cunninghamjerry@gmail.com,Eric Davis,Seniors,60+,AU006,UK,LO006,96854.0,3287.0,1400.0,252.0,11001.04,61989.99,Wesley Simon,EX005
C045,2023-11-30,2023-12-23,Email,CH002,Sales,CT002,Valentine-Dunn,CL 027,723 Julia Burg,Bartonhaven,VT,86914,gharrington@yahoo.com,Nathan May,Female,60+,AU002,Europe,LO004,4142.0,2029.0,2881.0,171.0,48920.63,23153.0,Melissa Haynes,EX008
C046,2023-12-28,2024-01-08,YouTube,CH001,Sales,CT002,Thomas-Proctor,CL 031,820 Butler Streets Suite 875,North Denisehaven,WV,66736-0964,brownmario@leonard.com,Angela Moore,Male,40-60,AU003,Japan,LO005,62604.0,3274.0,351.0,278.0,23547.35,30654.98,Wesley Simon,EX005
C047,2023-07-25,2023-07-29,TikTok,CH003,Sales,CT002,"James, Phelps and Burgess",CL 032,026 Good Ports Apt. 881,Port Adam,KY,82799-9255,edurham@hotmail.com,Vanessa Miranda,Male,18-40,AU009,Japan,LO005,43095.0,4273.0,3873.0,789.0,34899.92,61553.98,Lauren Riggs,EX001
C048,2023-11-12,2023-12-12,Email,CH002,Sign Up,CT001,"Fox, Carter and Cunningham",CL 033,99919 Michelle Green Apt. 424,West Hannah,KY,63482-6699,bradymcclain@hotmail.com,Andre Manning,Teens,13-19,AU008,Japan,LO005,2141.0,5809.0,762.0,866.0,26462.54,0.0,Brandon Townsend Jr.,EX002
C049,2023-08-20,2023-08-29,TikTok,CH003,Sign Up,CT001,Ross Group,CL 008,2397 Allison Knolls Suite 213,Jacksonside,WV,58803-3895,kristopher99@romero.org,Lauren Graham,Female,18-40,AU004,Japan,LO005,31796.0,1899.0,3771.0,687.0,36807.52,0.0,Brandon Townsend Jr.,EX002
C050,2023-03-10,2023-04-06,Instagram,CH004,Sign Up,CT001,Anderson Inc,CL 034,Unit 0015 Box 7678,DPO AE 55030-2816,,,jgomez@gmail.com,Morgan Gross,Female,18-40,AU004,Australia,LO007,72501.0,6711.0,4852.0,168.0,13841.04,0.0,Thomas Ryan,EX003
C051,2023-05-06,2023-05-29,TikTok,CH003,Sales,CT002,Lopez PLC,CL 001,0806 Watson Drive Suite 662,Port Andrea,DE,42578-2286,zmcintyre@bauer.info,Barbara Walker,Adults,40-60,AU007,Australia,LO007,55454.0,5056.0,591.0,851.0,30465.57,52673.78,Lauren Riggs,EX001
C052,2023-03-21,2023-04-15,YouTube,CH001,Sales,CT002,Jones LLC,CL 035,89103 Jennings Cape Suite 740,South Dianafort,FL,68504,norrisjames@pearson-burton.biz,Danielle Hernandez,Seniors,60+,AU006,India,LO008,51625.0,4100.0,4176.0,56.0,4048.33,53173.62,Aaron Faulkner,EX009
C053,2023-09-28,2023-10-03,YouTube,CH001,Sales,CT002,"Parker, Velasquez and Dixon",CL 036,33302 Fuller Lakes,West Christopher,MH,17095,hutchinsonmary@gmail.com,Brian George,Female,18-40,AU004,Australia,LO007,4132.0,292.0,1920.0,99.0,38057.7,59317.15,Aaron Faulkner,EX009
C054,2023-11-07,2023-12-01,YouTube,CH001,Sign Up,CT001,"Miller, Bryant and Burnett",CL 037,1044 Kennedy Prairie Apt. 186,Jamiemouth,NE,12690-6573,bjohnson@martin-williams.com,Christopher Clark,Seniors,60+,AU006,Europe,LO004,3140.0,8259.0,3955.0,43.0,33356.0,0.0,Aaron Faulkner,EX009
C055,2023-02-28,2023-03-10,YouTube,CH001,Sales,CT002,Drake-Vasquez,CL 038,8980 Cox Park,South Robert,NV,66099-6728,tylersheila@hicks.com,Teresa Doyle,Male,40-60,AU003,USA,LO001,43047.0,9683.0,1704.0,167.0,49537.77,26429.81,Michael Camacho,EX007
C056,2023-03-12,2023-03-19,YouTube,CH001,Sign Up,CT001,Drake-Vasquez,CL 038,8980 Cox Park,South Robert,NV,66099-6728,tylersheila@hicks.com,Teresa Doyle,Female,18-40,AU004,LATAM,LO002,63864.0,9076.0,3256.0,942.0,28751.79,0.0,Michael Camacho,EX007
C057,2023-12-10,2023-12-30,Email,CH002,Sign Up,CT001,Fisher Group,CL 023,880 Watson Ramp Suite 059,Reynoldsfurt,GU,10725,brian57@hotmail.com,Jeremy Baker,Male,60+,AU005,USA,LO001,63349.0,6903.0,2981.0,990.0,20800.78,0.0,Melissa Haynes,EX008
C058,2023-06-15,2023-07-01,Email,CH002,Sales,CT002,Cooper-Alexander,CL 039,01438 Kristin Fords Apt. 626,Port Paula,WA,20979-6415,gchavez@yang.com,Alexandria Hansen,Teens,13-19,AU008,LATAM,LO002,52140.0,5603.0,4671.0,376.0,16773.75,63146.78,Thomas Ryan,EX003
C059,2023-12-13,2023-12-23,Instagram,CH004,Sales,CT002,Herrera-Cook,CL 040,0613 David Haven Apt. 354,North Samantha,MI,10699-1384,ijordan@gmail.com,Madison York,Seniors,60+,AU006,LATAM,LO002,80160.0,4125.0,3975.0,598.0,29949.79,36113.64,Wesley Simon,EX005
C060,2023-07-07,2023-07-20,TikTok,CH003,Sales,CT002,Wade PLC,CL 041,3571 Harvey Centers,Ronaldfurt,NY,35589-6805,nhall@hotmail.com,Lacey Crane,Male,60+,AU005,UK,LO006,19067.0,1410.0,4989.0,801.0,25569.26,57864.37,Lauren Riggs,EX001
C061,2023-05-02,2023-05-26,YouTube,CH001,Sign Up,CT001,Cunningham-Little,CL 042,Unit 5043 Box 8770,DPO AP 84852,,,christopher51@watson.net,Stephanie Fernandez,Female,40-60,AU010,India,LO008,28540.0,6055.0,2625.0,799.0,20281.14,0.0,Becky Brown,EX006
C062,2023-06-04,2023-06-23,YouTube,CH001,Sales,CT002,"Reed, Galloway and Buck",CL 010,49317 Vincent Vista Suite 462,Port Nathan,CA,23364-0905,larrygraham@lucas.com,Andrea Simmons,Female,40-60,AU010,UK,LO006,91014.0,4060.0,4716.0,676.0,18712.37,60693.38,Wesley Simon,EX005
C063,2023-05-21,2023-05-25,Facebook,CH005,Sign Up,CT001,Herrera-Cook,CL 040,0613 David Haven Apt. 354,North Samantha,MI,10699-1384,ijordan@gmail.com,Madison York,Male,18-40,AU009,Europe,LO004,33476.0,7005.0,2186.0,658.0,4880.75,0.0,Wesley Simon,EX005
C064,2023-11-14,2023-11-22,Instagram,CH004,Sales,CT002,Edwards LLC,CL 043,123 Amanda Summit,Lake Marietown,IL,81773-5493,tinamckay@sharp-smith.com,Matthew Davis,Female,60+,AU002,Japan,LO005,57664.0,2355.0,3422.0,337.0,49745.62,55697.02,Melissa Haynes,EX008
C065,2023-09-16,2023-10-15,Email,CH002,Sales,CT002,Mcbride-Finley,CL 029,438 Brent Roads Apt. 855,Tylerburgh,NY,69473,mcclainhannah@jensen-gilbert.com,Michael Freeman,Teens,13-19,AU008,Australia,LO007,97778.0,7583.0,268.0,845.0,46026.43,49049.5,Jesus Rivera,EX004
C066,2023-01-25,2023-02-17,Facebook,CH005,Sales,CT002,Valentine-Dunn,CL 027,723 Julia Burg,Bartonhaven,VT,86914,gharrington@yahoo.com,Nathan May,Female,60+,AU002,UK,LO006,18061.0,4533.0,1310.0,223.0,2925.88,46406.4,Melissa Haynes,EX008
C067,2023-01-07,2023-01-20,Facebook,CH005,Sign Up,CT001,"Reed, Galloway and Buck",CL 010,49317 Vincent Vista Suite 462,Port Nathan,CA,23364-0905,larrygraham@lucas.com,Andrea Simmons,Male,18-40,AU009,Europe,LO004,45756.0,9994.0,2551.0,867.0,13427.22,0.0,Wesley Simon,EX005
C068,2023-07-24,2023-07-30,Instagram,CH004,Sales,CT002,Jones LLC,CL 035,89103 Jennings Cape Suite 740,South Dianafort,FL,68504,norrisjames@pearson-burton.biz,Danielle Hernandez,Male,18-40,AU009,Canada,LO003,55022.0,9822.0,2702.0,267.0,709.58,54160.79,Aaron Faulkner,EX009
C069,2023-06-01,2023-06-10,Email,CH002,Sales,CT002,Bernard and Sons,CL 044,8622 Ricky Knoll,New Jenniferville,GA,79764-9207,johnsonrobert@white.com,Julia Moore,Adults,18-40,AU001,India,LO008,53075.0,8233.0,1358.0,456.0,31296.65,49397.38,Thomas Ryan,EX003
C070,2023-06-05,2023-06-25,Facebook,CH005,Sales,CT002,White Ltd,CL 005,172 Angela Crescent Apt. 306,North Laura,HI,69094-7497,jeremy56@gmail.com,Nathan Weber,Male,40-60,AU003,LATAM,LO002,93754.0,7829.0,1630.0,828.0,19748.38,49032.64,Jesus Rivera,EX004
C071,2023-04-08,2023-04-29,Facebook,CH005,Sales,CT002,Melton-Smith,CL 045,03793 Jacobs Branch,West Max,MA,54633-3659,mercertimothy@huff.com,Patrick Abbott,Male,18-40,AU009,Australia,LO007,42436.0,2470.0,3712.0,217.0,20766.96,58135.36,Lauren Riggs,EX001
C072,2023-12-01,2023-12-30,TikTok,CH003,Sign Up,CT001,"Fox, Carter and Cunningham",CL 033,99919 Michelle Green Apt. 424,West Hannah,KY,63482-6699,bradymcclain@hotmail.com,Andre Manning,Male,40-60,AU003,Australia,LO007,30996.0,2704.0,2940.0,84.0,25009.46,0.0,Brandon Townsend Jr.,EX002
C073,2023-10-01,2023-10-30,YouTube,CH001,Sales,CT002,Edwards LLC,CL 043,123 Amanda Summit,Lake Marietown,IL,81773-5493,tinamckay@sharp-smith.com,Matthew Davis,Male,60+,AU005,Europe,LO004,49630.0,8858.0,3114.0,550.0,7778.44,56169.11,Melissa Haynes,EX008
C074,2023-10-26,2023-11-16,YouTube,CH001,Sales,CT002,"Holloway, Cox and Ford",CL 046,7800 Dorsey Tunnel Suite 734,West Tracy,UT,56027,joseph49@hodges-campbell.com,Dennis Carr,Adults,18-40,AU001,India,LO008,46763.0,3399.0,1689.0,982.0,49960.87,51281.52,Brandon Townsend Jr.,EX002
C075,2023-12-22,2023-12-29,YouTube,CH001,Sales,CT002,Wade PLC,CL 041,3571 Harvey Centers,Ronaldfurt,NY,35589-6805,nhall@hotmail.com,Lacey Crane,Female,60+,AU002,LATAM,LO002,96168.0,7961.0,2812.0,216.0,46137.32,42266.14,Lauren Riggs,EX001
C076,2023-05-17,2023-05-21,YouTube,CH001,Sign Up,CT001,"Parker, Velasquez and Dixon",CL 036,33302 Fuller Lakes,West Christopher,MH,17095,hutchinsonmary@gmail.com,Brian George,Female,18-40,AU004,USA,LO001,30561.0,5605.0,3619.0,949.0,39465.52,0.0,Aaron Faulkner,EX009
C077,2023-06-12,2023-06-17,Instagram,CH004,Sales,CT002,Edwards LLC,CL 043,123 Amanda Summit,Lake Marietown,IL,81773-5493,tinamckay@sharp-smith.com,Matthew Davis,Male,40-60,AU003,Australia,LO007,50339.0,1131.0,4928.0,410.0,39922.28,60892.28,Melissa Haynes,EX008
C078,2023-06-13,2023-07-06,Facebook,CH005,Sales,CT002,"Morris, Johnson and Anderson",CL 021,065 John Street,West Adamchester,NV,72944-3914,johnsondonald@meyer.com,Sandy Mathis,Adults,18-40,AU001,LATAM,LO002,92679.0,4501.0,495.0,612.0,24834.69,61170.51,Kyle Serrano,EX010
C079,2023-09-30,2023-10-15,TikTok,CH003,Sales,CT002,"Green, Lloyd and Ball",CL 047,30284 Villarreal Passage Apt. 698,Brownshire,NV,89609-0041,wrightlucas@yahoo.com,Shelly Stafford,Male,40-60,AU003,Canada,LO003,94198.0,4398.0,2283.0,457.0,17012.4,61089.8,Jesus Rivera,EX004
C080,2023-02-15,2023-02-25,Instagram,CH004,Sales,CT002,Smith-Bailey,CL 012,055 Rebecca Ramp,Edwardsland,WY,72139-7625,bakerpaul@holland.com,Sharon Reeves,Female,18-40,AU004,Canada,LO003,75181.0,5844.0,3427.0,861.0,29248.22,77891.46,Michael Camacho,EX007
C081,2023-10-06,2023-10-23,Facebook,CH005,Sales,CT002,Jimenez and Sons,CL 048,8451 Walter Fords Apt. 737,South Danielchester,CT,12719-1372,amartinez@oconnell.com,Justin Cole,Adults,40-60,AU007,Japan,LO005,23830.0,859.0,448.0,405.0,24992.08,50203.67,Jesus Rivera,EX004
C082,2023-09-11,2023-10-03,YouTube,CH001,Sales,CT002,Daniels Group,CL 049,567 Jill Motorway,Sarabury,GU,20455-6244,michael10@gmail.com,Annette Rice,Female,40-60,AU010,Europe,LO004,10516.0,3199.0,4683.0,504.0,31206.02,49203.12,Wesley Simon,EX005
C083,2023-08-19,2023-08-29,Instagram,CH004,Sales,CT002,"Holloway, Cox and Ford",CL 046,7800 Dorsey Tunnel Suite 734,West Tracy,UT,56027,joseph49@hodges-campbell.com,Dennis Carr,Male,18-40,AU009,UK,LO006,76149.0,1516.0,2464.0,113.0,1690.49,54726.24,Brandon Townsend Jr.,EX002
C084,2023-07-14,2023-08-04,Email,CH002,Sales,CT002,Green-Blake,CL 050,230 Brandon Bypass Apt. 679,New Melissa,TN,37505-3043,karenpayne@yahoo.com,Dustin Ramirez,Female,40-60,AU010,Canada,LO003,92949.0,4717.0,2324.0,953.0,23215.97,59982.18,Jesus Rivera,EX004
C085,2023-06-19,2023-06-26,TikTok,CH003,Sign Up,CT001,Bernard and Sons,CL 044,8622 Ricky Knoll,New Jenniferville,GA,79764-9207,johnsonrobert@white.com,Julia Moore,Teens,13-19,AU008,UK,LO006,38814.0,3125.0,1259.0,798.0,19608.69,0.0,Thomas Ryan,EX003
C086,2023-07-12,2023-08-10,Email,CH002,Sales,CT002,Vaughan Group,CL 051,PSC 0937,Box 0339,APO AP,AP 98521,baldwinhailey@klein-fitzgerald.com,Ashley Carter,Female,40-60,AU010,UK,LO006,23443.0,323.0,3225.0,912.0,48880.35,70181.29,Jesus Rivera,EX004
